"OBJECTID","SCHOOL_NAM","County","X_Coord","Y_Coord"
"30175","GENESIS AVIV PRI","NYANDARUA","36.428996","-0.029415"
"30176","WEST COAST ACADEMY PRI","MOMBASA","39.61546","-4.03863"
"30177","CITADEL SEGA JUNIOUR SCH","MOMBASA","39.66359","-4.06023"
"30178","MANARWA PRI SCH","BUNGOMA","34.80187","0.66136"
"30179","MUUMANDU PRIMARY","MACHAKOS","37.28202","-1.66115"
"30180","ST. JOSEPH'S KIPKUTEE PRIMARY SCHOOL","ELGEYO MARAKWET","35.502248","0.941575"
"30181","BAKISA SA SPECIAL UNIT SCH","BUNGOMA","34.8138","0.66001"
"30182","MUBUKURO SPECIAL UNIT","THARAKA NITHI","37.620713","-0.329816"
"30183","NYABURI  INTERGRATED PRI SCH","HOMA BAY","34.66375","-0.39581"
"30184","MAKUTANO SA SPECIAL UNIT","BUNGOMA","34.54352","0.60501"
"30185","DAYSTAR PRI SCH","TRANS NZOIA","34.997927","1.046239"
"30186","EDN PRI SCH","NAIROBI WEST","36.725659","-1.283964"
"30187","KAPLES PRI SCH","UASIN GISHU","35.277349","0.28335"
"30188","ARIF'S ACADEMY KUTINE PRY SCH","MERU","38.056069","0.297227"
"30189","MUTUMBU SPECIAL UNIT","SIAYA","34.447759","0.117342"
"30190","IMPALA PRY SCH","LAIKIPIA","36.903741","0.3284"
"30191","AIC SITIYOT ACADEMY PRI","UASIN GISHU","35.319109","0.900499"
"30192","BRILLIANT ACADEMY","HOMA BAY","34.033056","-0.487817"
"30193","NAMARAMBI FYM SPECIAL UNIT SCH","BUNGOMA","34.76595","0.73006"
"30194","ZOOM JUNIOR ACADEMY","MACHAKOS","36.972635","-1.458919"
"30195","BIRONGO SDA PRI","NYAMIRA","34.887243","-0.743556"
"30196","KIPKOCHOR JUNIOR ACADEMY - PRI","KERICHO","35.06736","-0.471"
"30197","MAKAWANI PRI","KIRINYAGA","37.306046","-0.751121"
"30198","GOODNEWS ACADEMY- PRI","NAIROBI WEST","36.793122","-1.307009"
"30199","MWERANGAI PRY SCH","MERU","37.938668","0.28669"
"30200","KIAROTHIRU PRI SCH","MERU","37.639226","0.029092"
"30201","BERRY HILL ACADEMY PRI","KIAMBU","36.94478","-1.15588"
"30202","CHACHA ACADEMY PRIMARY","NYAMIRA","35.017538","-0.453533"
"30203","SAMETO ACADEMY PRI","UASIN GISHU","35.175174","0.512478"
"30204","THE TAWFIQ MUSLIM PRY  SCH","MOMBASA","39.66246","-4.04444"
"30205","LAMUKANI PRY","KWALE","39.352822","-4.603445"
"30206","COMMUNITY TRUSTED CARE PRI SCH.","NAIROBI NORTH","36.868783","-1.254729"
"30207","LANES JUNIOR ACADEMY PRI SCH","KIAMBU","36.930634","-1.190341"
"30208","KAKAMEGA INTERNATIONAL  SCHOOL","KAKAMEGA","34.70185","0.26691"
"30209","MATERI GIRLS' PRI","THARAKA NITHI","37.81201","-0.189332"
"30210","MAOSI PR","NYAMIRA","34.93116","-0.4864"
"30211","OLE TUKAT PRI SCH","NAROK","35.922157","-1.188293"
"30212","MAKHAWELI TOWNSHIP PRI SCH","BUNGOMA","34.5641","0.56583"
"30213","MUUMANI PRY","MAKUENI","37.4727","-1.72373"
"30214","KIANGI PRY","NYERI","37.075553","-0.435826"
"30215","KANYENYAINI TOWNSHIP PRI SCH","MURANG'A","36.893153","-0.687018"
"30216","OSARE MIDENGA PRI SCH","KISUMU","34.75021","-0.07395"
"30217","SORI LAKESIDE ACA. PRY SCH","MIGORI","34.153473","-0.838456"
"30218","JOYLIMO ACADEMY PRIMARY","KISII","34.881581","-0.828417"
"30219","NAIRRATAAT PRI SCH","MAKUENI","37.4723","-2.08472"
"30220","NYAGATI PRI","KIRINYAGA","37.356038","-0.588755"
"30221","MWEA CENTRAL ACADEMY","KIRINYAGA","37.341175","-0.686713"
"30222","KENAUSTRIA ACADEMY PWANI","BUNGOMA","34.908044","0.705234"
"30223","ST CLEMENT OF ALEXANDRIA PRI SCH","NAIROBI WEST","36.733765","-1.290677"
"30224","ST. PHILIPS PRIMARY","KISUMU","34.976321","-0.273862"
"30225","MASAI PLAINSVIEW ACADEMY PRI SCH","KAJIADO","36.628684","-1.472531"
"30226","KATULYANI PRI","MAKUENI","37.44015","-1.8968"
"30227","FRENCH SCH PRI","NAIROBI WEST","36.78836","-1.29016"
"30228","SWEET ANGELS PREPARATORY PRI","NAIROBI NORTH","36.73928","-1.2605"
"30229","ONGUJO PRI SCH","KISUMU","34.96899","-0.41231"
"30230","DANSAN ACADEMY","MIGORI","34.585442","-1.083686"
"30231","ST PETERS PRY","MAKUENI","37.8274","-2.26844"
"30232","KIUNGUUTHENI PRI SCH","MACHAKOS","37.72068","-0.97393"
"30233","C.C.M KIHORA PRY SCH","NYERI","36.950125","-0.489363"
"30234","LWANYANGE PRI","BUSIA","34.272557","0.429944"
"30235","JOYLAND JUNIOR ACADEMY","EMBU","37.520397","-0.447601"
"30236","ILBISSIL PRI SPECIAL UNIT","KAJIADO","36.79406","-2.08685"
"30237","MAUMBA PRY SCH","KWALE","39.430996","-4.385018"
"30238","NANGINA GIRLS PRI SCH","BUSIA","34.102449","0.279565"
"30239","IRESABORU PRI SCH","ISIOLO","38.84293","1.08384"
"30240","UPPER HILL ACADEMY","NYAMIRA","34.814023","-0.643242"
"30241","MALILIMA PRI SCH","KAJIADO","36.987555","-2.013008"
"30242","MWALIMU TUJUJU PRY","MERU","37.765567","0.185379"
"30243","POROKO SPECIAL SCH","NAROK","34.86142","-0.95621"
"30244","KIBURU PRI SPECIAL UNIT","KIRINYAGA","37.207998","-0.539525"
"30245","HUMP DEV CENTER PRI SCH","NAIROBI NORTH","36.894732","-1.238399"
"30246","SALAIK ACADEMY PRI SCH","BOMET","35.370659","-0.71661"
"30247","MERTI PRIMARY SPECIAL UNIT","ISIOLO","38.664708","1.073924"
"30248","BAHATI ACADEMY PRI","KISII","34.765066","-0.722943"
"30249","GOT PRI SCH","HOMA BAY","34.76966","-0.41934"
"30250","COSMAS NAPOPONGOIT PRI SCH","TURKANA","34.397176","4.198397"
"30251","KAPSAOS PRI","UASIN GISHU","35.219968","0.552163"
"30252","ST DOMINIC ACADEMY PRI","BUNGOMA","34.403098","0.560785"
"30253","IDEAL PREP SCH","KIAMBU","36.82315","-1.04505"
"30254","HOPE ACADEMY PRIMARY","KISUMU","34.896643","-0.089932"
"30255","KIVYUNI PRIMARY","KITUI","38.15495","-1.04959"
"30256","RAWALO PRIMARY","SIAYA","34.512917","0.08513"
"30257","NAMAWANGA D.E.B PRIMARY","BUNGOMA","34.754844","0.74407"
"30258","SHIKOKHWE PRY","KAKAMEGA","34.778278","0.445775"
"30259","R L MWANGI MEMORIAL SCH","NAIROBI NORTH","36.913383","-1.201292"
"30260","BRIGHTON ACADEMY PRI SCH","SIAYA","34.37841","-0.0687"
"30261","NOBOLE PRI SCH","NAKURU","35.743057","-0.218432"
"30262","NELION ACADEMY","NAIROBI NORTH","36.935175","-1.229465"
"30263","MFAT ACADEMY PRY SCH","MERU","37.83503","0.1633"
"30264","MWAKIGWENA SPECIAL UNIT","KWALE","39.564341","-4.280391"
"30265","FAITH HOPE PRI","NYANDARUA","36.586759","-0.756179"
"30266","PHADITH PRI SCH","TRANS NZOIA","35.013794","0.91581"
"30267","BALMAS ACADEMY PRI SCH","NAKURU","35.668414","-0.255029"
"30268","JOKHEM B PRI","KISII","34.754432","-0.937533"
